Team,TrainAccuracy,TestAccuracy,PlayDistribution
PIT,0.651851852,0.506925208,0.529085873
TEN,0.684210526,0.56741573,0.514044944
ATL,0.700534759,0.568,0.578666667
MIA,0.684210526,0.54822335,0.560913706
KC,0.701275046,0.56010929,0.568306011
BAL,0.700182815,0.56010929,0.521857923
CAR,0.694545455,0.576086957,0.54076087
PHI,0.664772727,0.512747875,0.507082153
DEN,0.644320298,0.611731844,0.516759777
CIN,0.679856115,0.539083558,0.571428571
CLE,0.677606178,0.549132948,0.560693642
MIN,0.672566372,0.584656085,0.547619048
HOU,0.679856115,0.590296496,0.592991914
NYJ,0.67032967,0.631868132,0.653846154
IND,0.729678639,0.604519774,0.576271186
JAC,0.692449355,0.539944904,0.506887052
NO,0.689213894,0.494535519,0.590163934
DET,0.698924731,0.586021505,0.561827957
DAL,0.703096539,0.609289617,0.540983607
TB,0.697318008,0.626436782,0.531609195
ARI,0.739371534,0.629834254,0.546961326
SF,0.672690763,0.51951952,0.627627628
NYG,0.673873874,0.527027027,0.57027027
WAS,0.675675676,0.546242775,0.598265896
SEA,0.704028021,0.543307087,0.569553806
STL,0.699812383,0.58988764,0.556179775
GB,0.670840787,0.538873995,0.568364611
CHI,0.686046512,0.571014493,0.544927536
NE,0.675862069,0.552971576,0.511627907
BUF,0.699170124,0.52484472,0.51242236
OAK,0.682634731,0.591044776,0.546268657
SD,0.688461538,0.608069164,0.547550432
