Team,TrainAccuracy,TestAccuracy,PlayDistribution
PIT,0.72519084,0.545454545,0.539772727
TEN,0.710084034,0.553459119,0.610062893
ATL,0.742946708,0.593457944,0.598130841
MIA,0.760683761,0.541401274,0.503184713
KC,0.664285714,0.545454545,0.524064171
BAL,0.714285714,0.616915423,0.641791045
CAR,0.735632184,0.540229885,0.511494253
PHI,0.666666667,0.494382022,0.516853933
DEN,0.719367589,0.556213018,0.526627219
CIN,0.735772358,0.587878788,0.557575758
CLE,0.672354949,0.617346939,0.581632653
MIN,0.6625,0.534161491,0.52173913
HOU,0.695522388,0.589285714,0.59375
NYJ,0.782771536,0.578651685,0.550561798
IND,0.745874587,0.581280788,0.630541872
JAC,0.72972973,0.517241379,0.591954023
NO,0.716981132,0.632075472,0.570754717
DET,0.742160279,0.619791667,0.614583333
DAL,0.721311475,0.558282209,0.515337423
TB,0.724279835,0.518518519,0.567901235
ARI,0.708185053,0.531914894,0.531914894
SF,0.690566038,0.519774011,0.542372881
NYG,0.729824561,0.607329843,0.591623037
WAS,0.775193798,0.523255814,0.651162791
SEA,0.722807018,0.505263158,0.557894737
STL,0.727699531,0.482517483,0.608391608
GB,0.704845815,0.5,0.506578947
CHI,0.733333333,0.570588235,0.588235294
NE,0.7578125,0.63372093,0.639534884
BUF,0.719512195,0.512195122,0.536585366
OAK,0.713692946,0.555555556,0.592592593
SD,0.724358974,0.634615385,0.673076923
