Team,TrainAccuracy,TestAccuracy,PlayDistribution
PIT,0.679316888,0.568181818,0.511363636
TEN,0.691022965,0.575,0.6
ATL,0.686006826,0.583120205,0.52685422
MIA,0.649557522,0.527851459,0.50928382
KC,0.663747811,0.541884817,0.562827225
BAL,0.676258993,0.572580645,0.532258065
CAR,0.703488372,0.540697674,0.561046512
PHI,0.639344262,0.510928962,0.56010929
DEN,0.686924494,0.537190083,0.526170799
CIN,0.672629696,0.506702413,0.509383378
CLE,0.648373984,0.576219512,0.512195122
MIN,0.694497154,0.542613636,0.502840909
HOU,0.676840215,0.64516129,0.61827957
NYJ,0.714285714,0.600508906,0.506361323
IND,0.718213058,0.629820051,0.627249357
JAC,0.660583942,0.584699454,0.546448087
NO,0.678200692,0.603626943,0.626943005
DET,0.710571924,0.579220779,0.542857143
DAL,0.71299639,0.551351351,0.521621622
TB,0.664750958,0.563218391,0.50862069
ARI,0.680981595,0.605504587,0.602446483
SF,0.67251462,0.576023392,0.520467836
NYG,0.694096601,0.572192513,0.542780749
WAS,0.666044776,0.620111732,0.62849162
SEA,0.709803922,0.570588235,0.588235294
STL,0.681184669,0.5546875,0.565104167
GB,0.666666667,0.530054645,0.508196721
CHI,0.668008048,0.527108434,0.560240964
NE,0.695238095,0.528571429,0.514285714
BUF,0.698076923,0.550432277,0.536023055
OAK,0.659459459,0.539083558,0.525606469
SD,0.684881603,0.535519126,0.532786885
