Team,TrainAccuracy,TestAccuracy,PlayDistribution
PIT,0.668393782,0.596899225,0.571059432
TEN,0.681818182,0.551083591,0.572755418
ATL,0.728417266,0.591397849,0.610215054
MIA,0.682226212,0.572580645,0.602150538
KC,0.665384615,0.586206897,0.545977011
BAL,0.681238616,0.617486339,0.524590164
CAR,0.641509434,0.535897436,0.515384615
PHI,0.694859038,0.538461538,0.511166253
DEN,0.678321678,0.541884817,0.531413613
CIN,0.691743119,0.593406593,0.565934066
CLE,0.701465201,0.549450549,0.53021978
MIN,0.705660377,0.519774011,0.514124294
HOU,0.697508897,0.534574468,0.542553191
NYJ,0.683655536,0.560526316,0.592105263
IND,0.705882353,0.59697733,0.599496222
JAC,0.69043152,0.528089888,0.54494382
NO,0.719120135,0.578680203,0.616751269
DET,0.697674419,0.621983914,0.579088472
DAL,0.709618875,0.589673913,0.565217391
TB,0.726907631,0.557228916,0.578313253
ARI,0.696798493,0.563380282,0.574647887
SF,0.685288641,0.501392758,0.540389972
NYG,0.661431065,0.554973822,0.544502618
WAS,0.672316384,0.569014085,0.509859155
SEA,0.671480144,0.575675676,0.581081081
STL,0.709551657,0.581871345,0.520467836
GB,0.725598527,0.555248619,0.535911602
CHI,0.653136531,0.604972376,0.627071823
NE,0.660958904,0.574358974,0.574358974
BUF,0.676840215,0.575268817,0.599462366
OAK,0.728624535,0.580555556,0.577777778
SD,0.702048417,0.593314763,0.621169916
