Team,TrainAccuracy,TestAccuracy,PlayDistribution
PIT,0.688432836,0.583798883,0.5
TEN,0.685220729,0.646551724,0.612068966
ATL,0.678632479,0.571794872,0.584615385
MIA,0.695652174,0.549575071,0.580736544
KC,0.663619744,0.540983607,0.5
BAL,0.711033275,0.534031414,0.560209424
CAR,0.720292505,0.568306011,0.549180328
PHI,0.658759124,0.554644809,0.508196721
DEN,0.689013035,0.592178771,0.61452514
CIN,0.686238532,0.571428571,0.508241758
CLE,0.657608696,0.538043478,0.519021739
MIN,0.669776119,0.547486034,0.530726257
HOU,0.664298401,0.587765957,0.598404255
NYJ,0.68705036,0.563342318,0.528301887
IND,0.69921875,0.619883041,0.526315789
JAC,0.686238532,0.563186813,0.546703297
NO,0.654036244,0.593596059,0.598522167
DET,0.69771529,0.584210526,0.615789474
DAL,0.694545455,0.546195652,0.546195652
TB,0.674329502,0.584527221,0.573065903
ARI,0.69259962,0.551136364,0.556818182
SF,0.68952381,0.552706553,0.558404558
NYG,0.696202532,0.616216216,0.621621622
WAS,0.685352622,0.593495935,0.539295393
SEA,0.703007519,0.546478873,0.574647887
STL,0.669117647,0.538461538,0.505494505
GB,0.669960474,0.532544379,0.556213018
CHI,0.686311787,0.551136364,0.579545455
NE,0.698440208,0.54025974,0.519480519
BUF,0.692015209,0.565340909,0.605113636
OAK,0.715909091,0.556818182,0.534090909
SD,0.698606272,0.563968668,0.54308094
