Team,TestAccuracy,TrainAccuracy,PlayDistribution
PIT,0.55795148248,0.654054054054,0.579514824798
TEN,0.528901734104,0.635838150289,0.517341040462
ATL,0.596774193548,0.628366247756,0.602150537634
MIA,0.528409090909,0.625,0.534090909091
KC,0.508108108108,0.646846846847,0.562162162162
BAL,0.552845528455,0.602169981917,0.514905149051
CAR,0.521246458924,0.587121212121,0.526912181303
PHI,0.559585492228,0.625649913345,0.608808290155
DEN,0.55641025641,0.626712328767,0.512820512821
CIN,0.573333333333,0.641711229947,0.509333333333
CLE,0.541436464088,0.615526802218,0.522099447514
MIN,0.566666666667,0.589981447124,0.544444444444
HOU,0.479899497487,0.611390284757,0.557788944724
NYJ,0.592391304348,0.626811594203,0.600543478261
IND,0.581047381546,0.63227953411,0.571072319202
JAC,0.581920903955,0.616257088847,0.590395480226
NO,0.645833333333,0.696180555556,0.604166666667
DET,0.657276995305,0.669796557121,0.645539906103
DAL,0.638743455497,0.649737302977,0.662303664921
TB,0.538674033149,0.621072088725,0.629834254144
ARI,0.584905660377,0.632432432432,0.606469002695
SF,0.476878612717,0.637764932563,0.531791907514
NYG,0.54441260745,0.66091954023,0.575931232092
WAS,0.543417366947,0.631775700935,0.571428571429
SEA,0.602816901408,0.603383458647,0.594366197183
STL,0.594972067039,0.615671641791,0.578212290503
GB,0.528947368421,0.591549295775,0.515789473684
CHI,0.577030812325,0.629213483146,0.509803921569
NE,0.594907407407,0.630602782071,0.55787037037
BUF,0.511299435028,0.622641509434,0.505649717514
OAK,0.574468085106,0.647163120567,0.577127659574
SD,0.534626038781,0.62037037037,0.567867036011
