Team,TestAccuracy,TrainAccuracy,PlayDistribution
PIT,0.602272727273,0.671755725191,0.539772727273
TEN,0.59748427673,0.617647058824,0.610062893082
ATL,0.546728971963,0.648902821317,0.598130841121
MIA,0.477707006369,0.705128205128,0.503184713376
KC,0.561497326203,0.617857142857,0.524064171123
BAL,0.636815920398,0.634551495017,0.641791044776
CAR,0.534482758621,0.605363984674,0.511494252874
PHI,0.533707865169,0.591760299625,0.516853932584
DEN,0.597633136095,0.671936758893,0.526627218935
CIN,0.557575757576,0.650406504065,0.557575757576
CLE,0.576530612245,0.651877133106,0.581632653061
MIN,0.577639751553,0.6,0.521739130435
HOU,0.580357142857,0.644776119403,0.59375
NYJ,0.52808988764,0.651685393258,0.550561797753
IND,0.551724137931,0.650165016502,0.630541871921
JAC,0.528735632184,0.65250965251,0.591954022989
NO,0.603773584906,0.660377358491,0.570754716981
DET,0.625,0.745644599303,0.614583333333
DAL,0.490797546012,0.651639344262,0.515337423313
TB,0.512345679012,0.711934156379,0.567901234568
ARI,0.505319148936,0.658362989324,0.531914893617
SF,0.502824858757,0.618867924528,0.542372881356
NYG,0.596858638743,0.638596491228,0.591623036649
WAS,0.552325581395,0.674418604651,0.651162790698
SEA,0.447368421053,0.638596491228,0.557894736842
STL,0.475524475524,0.619718309859,0.608391608392
GB,0.526315789474,0.629955947137,0.506578947368
CHI,0.588235294118,0.639215686275,0.588235294118
NE,0.639534883721,0.66796875,0.639534883721
BUF,0.439024390244,0.638211382114,0.536585365854
OAK,0.574074074074,0.643153526971,0.592592592593
SD,0.620192307692,0.641025641026,0.673076923077
