Team,TestAccuracy,TrainAccuracy,PlayDistribution
PIT,0.506925208,0.607407407,0.529085873
TEN,0.578651685,0.605263158,0.514044944
ATL,0.573333333,0.591800357,0.578666667
MIA,0.558375635,0.663837012,0.560913706
KC,0.56284153,0.635701275,0.568306011
BAL,0.579234973,0.652650823,0.521857923
CAR,0.578804348,0.641818182,0.54076087
PHI,0.504249292,0.632575758,0.507082153
DEN,0.578212291,0.61452514,0.516759777
CIN,0.506738544,0.625899281,0.571428571
CLE,0.534682081,0.584942085,0.560693642
MIN,0.558201058,0.621238938,0.547619048
HOU,0.571428571,0.634892086,0.592991914
NYJ,0.60989011,0.672161172,0.653846154
IND,0.624293785,0.678638941,0.576271186
JAC,0.561983471,0.594843462,0.506887052
NO,0.494535519,0.608775137,0.590163934
DET,0.599462366,0.646953405,0.561827957
DAL,0.543715847,0.652094718,0.540983607
TB,0.586206897,0.634099617,0.531609195
ARI,0.635359116,0.709796673,0.546961326
SF,0.513513514,0.588353414,0.627627628
NYG,0.567567568,0.632432432,0.57027027
WAS,0.50867052,0.602316602,0.598265896
SEA,0.590551181,0.61821366,0.569553806
STL,0.578651685,0.613508443,0.556179775
GB,0.55227882,0.59391771,0.568364611
CHI,0.568115942,0.635658915,0.544927536
NE,0.532299742,0.615517241,0.511627907
BUF,0.50931677,0.597510373,0.51242236
OAK,0.528358209,0.584830339,0.546268657
SD,0.547550432,0.651923077,0.547550432
