Team,TestAccuracy,TrainAccuracy,PlayDistribution
PIT,0.596590909091,0.603415559772,0.511363636364
TEN,0.515625,0.630480167015,0.6
ATL,0.570332480818,0.612627986348,0.526854219949
MIA,0.549071618037,0.603539823009,0.509283819629
KC,0.51832460733,0.600700525394,0.562827225131
BAL,0.532258064516,0.645683453237,0.532258064516
CAR,0.53488372093,0.647286821705,0.561046511628
PHI,0.513661202186,0.597449908925,0.560109289617
DEN,0.542699724518,0.642725598527,0.526170798898
CIN,0.509383378016,0.611806797853,0.509383378016
CLE,0.573170731707,0.611788617886,0.512195121951
MIN,0.528409090909,0.624288425047,0.502840909091
HOU,0.650537634409,0.617594254937,0.618279569892
NYJ,0.590330788804,0.634353741497,0.506361323155
IND,0.642673521851,0.666666666667,0.627249357326
JAC,0.595628415301,0.633211678832,0.546448087432
NO,0.585492227979,0.657439446367,0.626943005181
DET,0.584415584416,0.646447140381,0.542857142857
DAL,0.489189189189,0.65523465704,0.521621621622
TB,0.560344827586,0.60153256705,0.508620689655
ARI,0.617737003058,0.61554192229,0.60244648318
SF,0.555555555556,0.627680311891,0.520467836257
NYG,0.577540106952,0.610017889088,0.542780748663
WAS,0.639664804469,0.632462686567,0.628491620112
SEA,0.558823529412,0.639215686275,0.588235294118
STL,0.5234375,0.601045296167,0.565104166667
GB,0.55737704918,0.622950819672,0.508196721311
CHI,0.527108433735,0.627766599598,0.560240963855
NE,0.594285714286,0.624761904762,0.514285714286
BUF,0.515850144092,0.636538461538,0.536023054755
OAK,0.563342318059,0.601801801802,0.525606469003
SD,0.513661202186,0.628415300546,0.532786885246
