Team,TestAccuracy,TrainAccuracy,PlayDistribution
PIT,0.565891472868,0.602763385147,0.571059431525
TEN,0.554179566563,0.615702479339,0.572755417957
ATL,0.599462365591,0.665467625899,0.610215053763
MIA,0.596774193548,0.606822262118,0.602150537634
KC,0.560344827586,0.621153846154,0.545977011494
BAL,0.612021857923,0.653916211293,0.524590163934
CAR,0.561538461538,0.612349914237,0.515384615385
PHI,0.538461538462,0.661691542289,0.511166253102
DEN,0.531413612565,0.629370629371,0.531413612565
CIN,0.576923076923,0.625688073394,0.565934065934
CLE,0.53021978022,0.6336996337,0.53021978022
MIN,0.531073446328,0.643396226415,0.514124293785
HOU,0.561170212766,0.597864768683,0.542553191489
NYJ,0.563157894737,0.592267135325,0.592105263158
IND,0.612090680101,0.667226890756,0.599496221662
JAC,0.5,0.6191369606,0.544943820225
NO,0.611675126904,0.627749576988,0.616751269036
DET,0.605898123324,0.644007155635,0.57908847185
DAL,0.663043478261,0.627949183303,0.565217391304
TB,0.551204819277,0.652610441767,0.578313253012
ARI,0.580281690141,0.621468926554,0.574647887324
SF,0.50139275766,0.608938547486,0.540389972145
NYG,0.594240837696,0.614310645724,0.544502617801
WAS,0.546478873239,0.630885122411,0.50985915493
SEA,0.575675675676,0.602888086643,0.581081081081
STL,0.558479532164,0.610136452242,0.520467836257
GB,0.552486187845,0.620626151013,0.53591160221
CHI,0.613259668508,0.608856088561,0.627071823204
NE,0.592307692308,0.619863013699,0.574358974359
BUF,0.577956989247,0.615798922801,0.599462365591
OAK,0.594444444444,0.724907063197,0.577777777778
SD,0.557103064067,0.648044692737,0.621169916435
