Team,TestAccuracy,TrainAccuracy,PlayDistribution
PIT,0.581005586592,0.625,0.5
TEN,0.632183908046,0.631477927063,0.612068965517
ATL,0.628205128205,0.646153846154,0.584615384615
MIA,0.543909348442,0.604914933837,0.580736543909
KC,0.527322404372,0.597806215722,0.5
BAL,0.484293193717,0.672504378284,0.560209424084
CAR,0.568306010929,0.586837294333,0.549180327869
PHI,0.568306010929,0.61496350365,0.508196721311
DEN,0.572625698324,0.625698324022,0.614525139665
CIN,0.582417582418,0.640366972477,0.508241758242
CLE,0.554347826087,0.585144927536,0.51902173913
MIN,0.550279329609,0.625,0.530726256983
HOU,0.595744680851,0.614564831261,0.598404255319
NYJ,0.568733153639,0.627697841727,0.528301886792
IND,0.614035087719,0.638671875,0.526315789474
JAC,0.535714285714,0.625688073394,0.546703296703
NO,0.573891625616,0.624382207578,0.598522167488
DET,0.618421052632,0.646748681898,0.615789473684
DAL,0.546195652174,0.638181818182,0.546195652174
TB,0.581661891117,0.632183908046,0.573065902579
ARI,0.565340909091,0.622390891841,0.556818181818
SF,0.535612535613,0.613333333333,0.558404558405
NYG,0.589189189189,0.629294755877,0.621621621622
WAS,0.631436314363,0.611211573237,0.539295392954
SEA,0.535211267606,0.62030075188,0.574647887324
STL,0.508241758242,0.613970588235,0.505494505495
GB,0.541420118343,0.614624505929,0.556213017751
CHI,0.565340909091,0.614068441065,0.579545454545
NE,0.545454545455,0.644714038128,0.519480519481
BUF,0.582386363636,0.633079847909,0.605113636364
OAK,0.565340909091,0.619318181818,0.534090909091
SD,0.558746736292,0.641114982578,0.543080939948
