PIT,0.521246458924,0.636363636364,0.526912181303
TEN,0.548850574713,0.684615384615,0.508620689655
ATL,0.558583106267,0.686703096539,0.577656675749
MIA,0.567357512953,0.649913344887,0.562176165803
KC,0.564245810056,0.692737430168,0.564245810056
BAL,0.583798882682,0.728971962617,0.519553072626
CAR,0.563888888889,0.704460966543,0.541666666667
PHI,0.547826086957,0.678294573643,0.507246376812
DEN,0.582857142857,0.68380952381,0.511428571429
CIN,0.539944903581,0.691176470588,0.573002754821
CLE,0.532544378698,0.705533596838,0.559171597633
MIN,0.559459459459,0.683544303797,0.551351351351
HOU,0.592286501377,0.667279411765,0.592286501377
NYJ,0.699438202247,0.676029962547,0.660112359551
IND,0.64450867052,0.738878143133,0.578034682081
JAC,0.549295774648,0.702448210923,0.50985915493
NO,0.449720670391,0.671028037383,0.594972067039
DET,0.585164835165,0.67032967033,0.557692307692
DAL,0.642458100559,0.707635009311,0.550279329609
TB,0.608823529412,0.741176470588,0.532352941176
ARI,0.632768361582,0.739130434783,0.54802259887
SF,0.544615384615,0.699588477366,0.624615384615
NYG,0.530386740331,0.70349907919,0.57182320442
WAS,0.603550295858,0.697628458498,0.600591715976
SEA,0.56836461126,0.713774597496,0.560321715818
STL,0.632183908046,0.708253358925,0.557471264368
GB,0.567123287671,0.703839122486,0.567123287671
CHI,0.569732937685,0.712301587302,0.543026706231
NE,0.575197889182,0.702464788732,0.517150395778
BUF,0.554140127389,0.693617021277,0.515923566879
OAK,0.599388379205,0.707566462168,0.550458715596
SD,0.589970501475,0.700787401575,0.545722713864
